Race,Program,Horse,Surface,RaceType,Distance_yards,BrisRelated_dmrd,BrisRelated_sarm,EarlySpeed,HC_1stongrass,HC_ShipperToUS,IAucPri_keeA25,IJKYe_kta13,JCK_PY_WPS,KS_itmm_26,LastWOatTT,PPt12,ShowedLateSP_LR,StretchBL_LR26,Weight_LR,WinsatDist26,XBPPR_tc12_3,baseprob2,brisAW_c,eps4dalt_sard,iJCK_StrtCM,iworkoutpctrnk1_ckta13,lrclass_kma13,ltstr_sart,xBRISRunstyle_EP,xBRISSpeedAWc_keeod,xJCK_CMWPS26,xNumDaysSinceLRcut,xNumDaysSinceLRcut2,xNumEntLast5,xNumEntLast5cut,xPostPosition,xR309c,xdaysoff26,xdrfsp1m_sard,xsexcolt0425,xturffy_last5,xwrkdate_kaaw13,log_odds_s,predicted_s,log_odds_r,predicted_r,log_odds_hp,predicted_hp,log_odds_lp,predicted_lp,predicted_ensemble
5,1.000000,LIMELIGHT,T,S,1980,-6.000000,0.000000,1.976190,1,0,1.000000,0.250000,-0.048680,-0.152350,0,-5.000000,0,4.580000,-0.785714,1.000000,173.223202,0.062500,-0.015000,2.018156,0.080605,2.000000,4.285714,0.603774,0.000000,-6.000000,0.152243,-19.357143,-19.357143,-2.226190,-2.226190,-7.500000,-0.562500,40.000000,0.428571,3,-2.062500,-18.000000,-5.247027,0.005236,-3.484603,0.029754,-3.592543,0.026791,-3.327264,0.034648,0.024107
5,2.000000,SUPERCHARGER,T,S,1980,-2.250000,-1.750000,-8.251190,0,0,1.642336,2.972461,0.087648,0.072139,0,-5.000000,0,-0.670000,-0.785714,1.000000,755.778645,0.062500,-0.015000,3.629926,2.095718,1.029296,-0.714286,0.905660,0.000000,-1.000000,0.229166,-3.357143,-3.357143,5.773810,5.773810,-6.500000,2.437500,40.000000,-5.571429,3,0.937500,16.000000,-2.120803,0.107091,-1.096881,0.250325,-2.309833,0.090312,-1.256491,0.221579,0.167327
5,3.000000,ROYAL CAUSEWAY,T,S,1980,-1.500000,-0.750000,-5.580794,0,0,1.094891,2.304239,0.067832,0.017822,1,-5.000000,1,-1.170000,-0.785714,1.000000,413.773716,0.062500,0.000000,3.867225,2.015113,1.694314,-3.714286,2.113208,0.000000,0.000000,0.092243,9.642857,9.642857,-1.026190,-1.026190,-5.500000,-0.562500,-4.120000,6.428571,-2,4.937500,9.000000,-2.876572,0.053324,-1.735046,0.149943,-3.192018,0.039467,-1.612454,0.166248,0.102246
5,4.000000,SIGFRID,T,S,1980,2.000000,0.000000,-2.785714,1,0,1.000000,2.384053,-0.017255,0.111522,0,-4.500000,1,1.580000,-0.785714,1.000000,451.623216,0.062500,-0.015000,2.531281,1.168766,0.695940,-3.714286,0.301887,0.000000,2.000000,0.066036,-10.357143,-10.357143,-2.642857,-2.642857,-4.500000,-0.562500,40.000000,3.428571,3,-1.062500,10.000000,-3.567469,0.027452,-1.932396,0.126486,-2.260093,0.094482,-2.201173,0.099645,0.087016
5,5.000000,IRISH MOJO,T,S,1980,0.000000,0.000000,0.000000,0,0,1.000000,0.250000,-0.069127,-0.052044,1,-3.500000,0,0.000000,0.000000,1.000000,441.000000,0.062500,0.000000,3.000000,0.725441,2.000000,0.000000,0.200000,0.000000,0.000000,-0.236646,-100.000000,-200.000000,0.000000,0.000000,-3.500000,-0.562500,40.000000,0.000000,3,-0.062500,17.000000,-3.509019,0.029057,-2.780846,0.058368,-2.937374,0.050337,-2.743210,0.060471,0.049558
5,6.000000,SWERVE,T,S,1980,0.000000,0.000000,7.219206,0,0,0.583942,0.676396,-0.010901,0.005557,0,-2.500000,1,-5.290000,-0.785714,1.000000,175.865488,0.062500,0.000000,2.828676,1.088161,1.569732,-3.714286,1.811321,0.000000,0.000000,-0.051461,9.642857,9.642857,-4.026190,-4.026190,-2.500000,-0.562500,11.280000,9.428571,3,0.937500,-22.000000,-3.994603,0.018082,-2.672926,0.064590,-3.050002,0.045217,-2.308082,0.090456,0.054586
5,7.000000,IN AMERICA,T,S,1980,0.000000,0.000000,3.976190,0,0,0.087591,0.250000,0.017844,-0.167512,0,-1.500000,0,0.580000,-0.785714,1.000000,74.156702,0.062500,0.000000,1.443866,0.241814,1.009114,-0.714286,0.603774,0.000000,0.000000,-0.181090,-3.357143,-3.357143,0.773810,0.773810,-1.500000,-0.562500,40.000000,-9.571429,3,-0.062500,10.000000,-3.708354,0.023931,-3.476299,0.029994,-4.083078,0.016576,-3.441212,0.031032,0.025383
5,8.000000,COMPREHENSIVE,T,S,1980,0.000000,0.000000,2.419206,0,0,2.226277,2.448892,0.114165,0.119327,0,-0.500000,0,-2.420000,-0.785714,1.000000,1490.070288,0.062500,0.000000,4.978790,2.418136,0.563226,-0.714286,1.509434,0.000000,0.000000,0.235576,-11.357143,-11.357143,0.973810,0.973810,-0.500000,-0.562500,-15.320000,10.000000,-2,4.937500,18.000000,-0.923735,0.284197,-0.792823,0.311563,-1.137843,0.242717,-0.815842,0.306647,0.286281
5,9.000000,BLUEGRASS PIKE,T,S,1980,-7.250000,-2.250000,-9.451190,0,0,1.000000,0.250000,-0.053902,-0.007543,1,0.500000,0,2.580000,-2.785714,1.000000,129.992573,0.062500,-0.015000,0.600000,0.201511,0.622910,-0.714286,0.905660,0.000000,-8.000000,0.052243,12.642857,12.642857,-0.226190,-0.226190,0.500000,-0.562500,40.000000,-10.000000,3,0.937500,28.000000,-4.364728,0.012558,-3.570467,0.027372,-4.500818,0.010978,-4.081451,0.016603,0.016878
5,10.000000,HEY DEY,T,S,1980,0.000000,0.000000,8.248810,1,0,1.000000,0.250000,-0.052861,0.098480,1,1.500000,0,-4.420000,-0.785714,1.000000,490.242859,0.062500,-0.015000,2.896781,0.403023,0.605468,-2.714286,0.905660,0.000000,0.000000,-0.347757,9.642857,9.642857,-1.226190,-1.226190,1.500000,-0.562500,40.000000,2.428571,3,-3.062500,-40.000000,-4.022920,0.017586,-3.150516,0.041071,-2.596953,0.069335,-3.196706,0.039290,0.041820
